Time,BlastTemp,BlastPressure,O2Percent,PCI_Rate,TopGas_CO,TopGas_CO2,TuyereTemp,CoolingWater_DeltaT,ShellTemp,Vibration,RUL,FailureType,Anomaly
0,1102.4835707650561,2.478812015898865,20.796451580853834,149.56973035062322,22.348286247666817,18.17087352874698,1780.194280324396,15.914097783411165,297.640712258493,2.209956494475251,200.0,0.0,0.0
1,1099.4086780774778,2.4779959563092135,20.908350161083906,149.93536556038404,22.283323592535666,18.01225543063154,1789.7541393308163,16.624487186934925,305.065512755158,1.8440934883714228,199.9599919983997,0.0,0.0
2,1103.4384393571868,2.4115511351960106,20.820785681686456,150.25955080860334,21.063480154194508,17.568844933582636,1794.7376775381942,15.345517271282862,299.01306656364847,2.240280808591067,199.91998399679937,0.0,0.0
3,1107.9151380321669,2.4854953570842615,21.033125414083838,152.9405827182802,22.57958422176374,17.99747333915221,1802.4085565158018,14.744879039990082,300.45884752382824,1.988374974903929,199.87997599519903,0.0,0.0
4,1099.22920646025,2.5393078047196083,21.359153559438575,147.89167745729094,20.50991732442338,18.490841625492944,1811.457306492308,13.933275182326579,303.5949546335087,2.172030797780468,199.83996799359872,0.0,0.0
5,1099.3292631335485,2.4396211101298357,20.76868735285764,147.62761797618646,21.34581567423967,17.87383787102116,1808.460738512638,14.887484843986707,299.7151849661554,1.8475378069025425,199.7999599919984,0.0,0.0
6,1108.4959740815868,2.556423065971193,21.300246149330523,153.90984589336227,20.00091218710219,18.419767630230275,1790.0296770108687,15.203126327650555,290.9227631088308,1.6078312224078444,199.7599519903981,0.0,0.0
7,1104.5370307378512,2.5290537140781524,20.765498378295934,148.84537793542628,23.558626516962814,17.163331221576954,1798.4091683995896,13.536927927226804,305.21694032332783,1.671638304376709,199.71994398879775,0.0,0.0
8,1098.4524147540578,2.4686191391992893,20.745711836250933,146.47752900212092,21.768450506054705,17.396106348854296,1803.1932031073811,15.92147292850679,306.29064735021535,2.5021807871099107,199.67993598719744,0.0,0.0
9,1103.612496498683,2.498919918781052,21.245578385502963,148.84456517572534,24.166884034816313,17.265679496726026,1800.1102924329157,14.57608600369134,290.86242314271794,1.882212300469611,199.63992798559713,0.0,0.0
10,1098.6824949213512,2.5865778198743907,21.276580913402285,149.34311340263554,22.802949926519496,17.434868628207592,1800.3420582423223,15.8614158411012,294.8035479724925,2.221232012656347,199.5999199839968,0.0,0.0
11,1098.77079673269,2.5440041529362576,21.255422981028797,155.03147269487295,22.448098213351024,19.287181046706092,1786.109924580333,14.989080037949016,310.14140248830773,1.7426491827190544,199.55991198239647,0.0,0.0
